date;heure;PM25;PM10;O3;NO2;CO
01/02/2013;3;11;19;38;26;300
01/02/2013;4;8;17;42;25;300
01/02/2013;5;8;16;37;32;300
01/02/2013;6;8;11;32;44;300
01/02/2013;7;4;6;24;60;300
01/02/2013;8;5;7;24;64;400
01/02/2013;9;3;8;23;62;400
01/02/2013;10;8;12;25;57;400
01/02/2013;11;8;13;18;61;400
01/02/2013;12;9;11;8;67;500
01/02/2013;13;11;14;3;76;600
01/02/2013;14;14;14;5;64;500
01/02/2013;15;7;9;13;56;400
01/02/2013;16;5;7;14;59;400
01/02/2013;17;7;9;10;68;400
01/02/2013;18;8;9;44;37;300
01/02/2013;19;7;9;49;33;300
01/02/2013;20;7;9;46;33;300
01/02/2013;21;8;9;48;31;300
01/02/2013;22;9;11;49;28;300
01/02/2013;23;10;12;42;28;300
01/02/2013;24;11;15;41;29;300
02/02/2013;1;9;12;40;27;200
02/02/2013;2;7;11;38;28;200
02/02/2013;3;8;10;31;35;300
02/02/2013;4;9;11;35;28;200
02/02/2013;5;11;15;30;32;200
02/02/2013;6;10;15;28;36;200
02/02/2013;7;8;11;22;43;200
02/02/2013;8;9;9;22;41;300
02/02/2013;9;11;12;27;38;300
02/02/2013;10;8;11;51;32;200
02/02/2013;11;6;3;64;28;200
02/02/2013;12;6;6;75;21;200
02/02/2013;13;6;14;67;25;200
02/02/2013;14;8;14;55;24;200
02/02/2013;15;6;10;40;28;200
02/02/2013;16;4;9;n/d;26;200
02/02/2013;17;5;5;n/d;35;300
02/02/2013;18;7;8;n/d;39;300
02/02/2013;19;5;10;n/d;49;300
02/02/2013;20;6;9;n/d;47;300
02/02/2013;21;9;10;n/d;40;300
02/02/2013;22;10;12;n/d;39;300
02/02/2013;23;10;16;n/d;32;200
02/02/2013;24;11;11;n/d;34;300
03/02/2013;1;9;14;n/d;38;300
03/02/2013;2;8;15;n/d;36;300
03/02/2013;3;9;15;n/d;35;300
03/02/2013;4;8;14;n/d;30;300
03/02/2013;5;7;11;n/d;30;300
03/02/2013;6;6;12;n/d;30;200
03/02/2013;7;5;15;n/d;35;300
03/02/2013;8;6;15;n/d;44;300
03/02/2013;9;9;13;n/d;51;300
03/02/2013;10;11;15;n/d;52;300
03/02/2013;11;12;17;n/d;44;400
03/02/2013;12;12;27;n/d;37;300
03/02/2013;13;13;18;n/d;35;300
03/02/2013;14;11;15;48;29;300
03/02/2013;15;9;12;41;34;300
03/02/2013;16;11;15;34;41;300
03/02/2013;17;12;17;30;45;400
03/02/2013;18;12;18;22;52;400
03/02/2013;19;13;17;24;48;400
03/02/2013;20;16;20;21;49;400
03/02/2013;21;14;21;26;41;400
03/02/2013;22;12;16;32;33;400
03/02/2013;23;11;12;35;29;400
03/02/2013;24;9;9;38;27;300
04/02/2013;1;5;6;41;22;300
04/02/2013;2;6;6;45;18;200
04/02/2013;3;5;5;46;16;200
04/02/2013;4;2;5;42;19;200
04/02/2013;5;3;3;40;25;200
04/02/2013;6;2;5;32;40;300
04/02/2013;7;4;6;19;59;300
04/02/2013;8;5;9;13;70;400
04/02/2013;9;9;19;8;76;400
04/02/2013;10;8;15;10;72;400
04/02/2013;11;8;14;20;58;400
04/02/2013;12;8;10;17;58;400
04/02/2013;13;9;12;34;43;400
04/02/2013;14;7;11;49;37;300
04/02/2013;15;5;12;46;41;300
04/02/2013;16;8;13;42;43;300
04/02/2013;17;10;18;40;49;300
04/02/2013;18;15;28;46;45;300
04/02/2013;19;16;33;39;49;400
04/02/2013;20;18;33;36;49;400
04/02/2013;21;17;30;48;37;300
04/02/2013;22;15;27;50;33;300
04/02/2013;23;11;25;57;27;200
04/02/2013;24;10;23;62;21;200
05/02/2013;1;10;21;63;20;200
05/02/2013;2;9;19;67;14;200
05/02/2013;3;6;16;68;13;200
05/02/2013;4;5;13;59;21;200
05/02/2013;5;7;16;65;14;200
05/02/2013;6;8;15;54;25;200
05/02/2013;7;7;12;45;38;200
05/02/2013;8;5;10;41;47;300
05/02/2013;9;3;7;29;61;300
05/02/2013;10;6;10;31;59;300
05/02/2013;11;7;9;43;46;300
05/02/2013;12;9;9;54;38;300
05/02/2013;13;5;7;59;31;200
05/02/2013;14;3;11;61;34;200
05/02/2013;15;4;11;58;39;200
05/02/2013;16;2;7;59;37;200
05/02/2013;17;3;8;53;40;200
05/02/2013;18;4;n/d;40;55;300
05/02/2013;19;5;n/d;35;57;300
05/02/2013;20;8;9;26;63;400
05/02/2013;21;8;12;44;41;300
05/02/2013;22;7;12;42;40;200
05/02/2013;23;7;11;53;27;200
05/02/2013;24;4;12;54;23;200
06/02/2013;1;4;9;52;21;200
06/02/2013;2;6;10;55;15;200
06/02/2013;3;4;11;54;16;200
06/02/2013;4;2;8;56;15;200
06/02/2013;5;1;4;54;17;200
06/02/2013;6;1;5;40;32;200
06/02/2013;7;3;5;24;53;300
06/02/2013;8;3;4;28;54;300
06/02/2013;9;3;8;19;63;300
06/02/2013;10;7;11;27;51;300
06/02/2013;11;6;14;35;36;300
06/02/2013;12;7;16;44;33;300
06/02/2013;13;8;17;55;26;300
06/02/2013;14;7;13;55;26;300
06/02/2013;15;8;16;50;32;300
06/02/2013;16;7;13;48;33;200
06/02/2013;17;6;14;45;35;300
06/02/2013;18;4;11;35;39;300
06/02/2013;19;7;13;30;44;300
06/02/2013;20;10;15;30;43;300
06/02/2013;21;10;18;44;29;300
06/02/2013;22;8;13;52;24;200
06/02/2013;23;5;6;53;22;300
06/02/2013;24;4;8;52;23;300
07/02/2013;1;3;5;48;24;200
07/02/2013;2;2;7;55;17;200
07/02/2013;3;4;9;58;13;200
07/02/2013;4;5;8;56;15;200
07/02/2013;5;5;11;54;16;200
07/02/2013;6;3;11;42;26;200
07/02/2013;7;6;11;16;54;300
07/02/2013;8;7;17;10;63;300
07/02/2013;9;7;18;14;57;300
07/02/2013;10;9;18;20;51;300
07/02/2013;11;9;16;27;44;300
07/02/2013;12;8;17;38;35;300
07/02/2013;13;8;18;47;30;200
07/02/2013;14;10;16;44;34;200
07/02/2013;15;7;15;49;32;200
07/02/2013;16;4;15;53;26;200
07/02/2013;17;6;15;45;32;200
07/02/2013;18;6;13;29;50;300
07/02/2013;19;9;19;11;72;400
07/02/2013;20;12;20;11;71;400
07/02/2013;21;14;20;18;62;300
07/02/2013;22;13;25;26;50;300
07/02/2013;23;10;18;34;36;300
07/02/2013;24;9;17;28;42;300
08/02/2013;1;10;17;28;38;300
08/02/2013;2;10;16;28;36;300
08/02/2013;3;9;18;38;27;300
08/02/2013;4;10;14;34;27;300
08/02/2013;5;12;18;17;42;300
08/02/2013;6;11;15;7;54;300
08/02/2013;7;13;20;2;63;400
08/02/2013;8;16;23;2;67;500
08/02/2013;9;19;24;5;62;500
08/02/2013;10;20;27;14;58;400
08/02/2013;11;21;21;27;46;300
08/02/2013;12;16;21;43;32;300
08/02/2013;13;11;20;46;31;300
08/02/2013;14;11;22;37;40;300
08/02/2013;15;8;17;41;36;300
08/02/2013;16;9;14;38;40;300
08/02/2013;17;9;14;37;39;300
08/02/2013;18;8;14;33;41;300
08/02/2013;19;9;14;19;54;400
08/02/2013;20;12;12;12;61;500
08/02/2013;21;16;20;16;58;400
08/02/2013;22;19;22;19;49;400
08/02/2013;23;16;22;23;46;400
08/02/2013;24;13;18;32;41;400
09/02/2013;1;11;16;20;50;400
09/02/2013;2;15;16;16;47;300
09/02/2013;3;17;18;13;48;300
09/02/2013;4;16;19;13;47;300
09/02/2013;5;18;19;12;45;300
09/02/2013;6;17;17;13;45;400
09/02/2013;7;19;17;3;57;400
09/02/2013;8;20;20;2;61;500
09/02/2013;9;16;21;11;53;500
09/02/2013;10;14;16;29;39;400
09/02/2013;11;13;12;37;33;400
09/02/2013;12;14;14;37;37;400
09/02/2013;13;18;17;41;35;400
09/02/2013;14;21;22;41;37;300
09/02/2013;15;23;28;29;52;400
09/02/2013;16;24;29;23;57;500
09/02/2013;17;27;31;11;73;600
09/02/2013;18;29;30;5;80;700
09/02/2013;19;31;33;7;81;600
09/02/2013;20;28;30;11;73;500
09/02/2013;21;28;29;9;77;500
09/02/2013;22;33;34;14;67;500
09/02/2013;23;33;32;13;63;500
09/02/2013;24;29;30;21;52;500
10/02/2013;1;24;23;19;51;400
10/02/2013;2;24;26;20;49;400
10/02/2013;3;23;24;32;33;400
10/02/2013;4;20;22;35;29;300
10/02/2013;5;19;18;36;26;300
10/02/2013;6;17;13;35;24;300
10/02/2013;7;16;16;32;24;300
10/02/2013;8;15;18;25;33;300
10/02/2013;9;15;15;31;28;300
10/02/2013;10;14;17;27;32;300
10/02/2013;11;18;18;21;39;400
10/02/2013;12;21;21;22;42;400
10/02/2013;13;21;22;27;39;400
10/02/2013;14;21;16;33;36;400
10/02/2013;15;18;17;40;31;400
10/02/2013;16;15;15;42;31;400
10/02/2013;17;15;17;40;35;400
10/02/2013;18;16;14;38;36;400
10/02/2013;19;16;15;36;36;400
10/02/2013;20;17;18;35;34;400
10/02/2013;21;23;21;29;38;400
10/02/2013;22;19;17;n/d;36;400
10/02/2013;23;17;17;18;46;400
10/02/2013;24;16;14;11;56;500
11/02/2013;1;15;16;9;57;400
11/02/2013;2;11;12;30;39;400
11/02/2013;3;7;6;45;29;300
11/02/2013;4;4;5;42;30;300
11/02/2013;5;4;8;38;35;300
11/02/2013;6;5;7;22;53;300
11/02/2013;7;7;9;9;72;400
11/02/2013;8;9;15;13;77;400
11/02/2013;9;7;11;7;85;500
11/02/2013;10;9;16;11;79;400
11/02/2013;11;10;17;22;63;400
11/02/2013;12;11;24;31;54;300
11/02/2013;13;12;21;43;43;300
11/02/2013;14;12;20;45;41;300
11/02/2013;15;11;20;35;53;300
11/02/2013;16;11;21;48;41;300
11/02/2013;17;8;19;40;51;300
11/02/2013;18;11;23;23;67;400
11/02/2013;19;12;19;20;68;500
11/02/2013;20;13;17;33;48;400
11/02/2013;21;15;13;21;49;400
11/02/2013;22;17;19;22;38;400
11/02/2013;23;15;21;26;31;300
11/02/2013;24;13;16;26;32;300
12/02/2013;1;13;18;33;23;300
12/02/2013;2;14;12;34;25;400
12/02/2013;3;10;9;36;24;300
12/02/2013;4;10;11;26;26;400
12/02/2013;5;16;14;12;27;400
12/02/2013;6;26;24;4;37;400
12/02/2013;7;33;31;1;44;500
12/02/2013;8;31;29;2;44;500
12/02/2013;9;29;29;3;43;600
12/02/2013;10;35;33;4;45;500
12/02/2013;11;41;40;5;43;500
12/02/2013;12;41;36;8;41;500
12/02/2013;13;36;37;10;39;500
12/02/2013;14;37;31;8;43;400
12/02/2013;15;34;32;8;46;400
12/02/2013;16;33;35;13;48;400
12/02/2013;17;33;33;18;48;400
12/02/2013;18;32;33;19;51;400
12/02/2013;19;32;31;20;52;400
12/02/2013;20;37;36;14;59;500
12/02/2013;21;44;46;16;54;500
12/02/2013;22;49;46;22;43;500
12/02/2013;23;49;41;17;44;500
12/02/2013;24;48;46;12;47;500
13/02/2013;1;48;46;15;45;500
13/02/2013;2;46;45;23;36;500
13/02/2013;3;43;42;29;31;500
13/02/2013;4;40;34;39;23;500
13/02/2013;5;35;31;35;27;500
13/02/2013;6;34;32;35;30;500
13/02/2013;7;33;30;25;43;500
13/02/2013;8;33;32;29;38;500
13/02/2013;9;34;31;29;37;500
13/02/2013;10;34;34;n/d;n/d;n/d
13/02/2013;11;n/d;n/d;n/d;n/d;n/d
13/02/2013;12;n/d;n/d;n/d;43;500
13/02/2013;13;n/d;n/d;28;44;500
13/02/2013;14;n/d;n/d;26;49;500
13/02/2013;15;35;n/d;27;49;500
13/02/2013;16;36;n/d;24;52;500
13/02/2013;17;36;n/d;15;61;600
13/02/2013;18;39;n/d;15;60;600
13/02/2013;19;44;n/d;13;60;600
13/02/2013;20;44;n/d;14;56;500
13/02/2013;21;37;n/d;26;42;500
13/02/2013;22;35;n/d;20;47;500
13/02/2013;23;36;n/d;25;37;500
13/02/2013;24;33;n/d;28;33;500
14/02/2013;1;35;n/d;27;31;400
14/02/2013;2;35;n/d;30;27;300
14/02/2013;3;35;n/d;30;25;300
14/02/2013;4;33;n/d;28;25;300
14/02/2013;5;33;n/d;24;30;300
14/02/2013;6;34;n/d;14;42;400
14/02/2013;7;35;n/d;5;56;400
14/02/2013;8;36;n/d;3;62;500
14/02/2013;9;36;n/d;5;59;500
14/02/2013;10;36;n/d;5;59;500
14/02/2013;11;40;n/d;6;55;500
14/02/2013;12;31;n/d;7;53;500
14/02/2013;13;21;n/d;5;54;500
14/02/2013;14;18;n/d;3;57;600
14/02/2013;15;18;n/d;2;63;600
14/02/2013;16;20;n/d;3;66;800
14/02/2013;17;20;n/d;2;76;1000
14/02/2013;18;26;n/d;3;87;1100
14/02/2013;19;30;n/d;3;112;1600
14/02/2013;20;35;39;2;97;1000
14/02/2013;21;22;28;5;78;500
14/02/2013;22;20;24;10;65;400
14/02/2013;23;15;22;12;64;400
14/02/2013;24;10;20;11;62;400
15/02/2013;1;13;20;11;60;400
15/02/2013;2;10;19;19;47;400
15/02/2013;3;10;20;23;41;400
15/02/2013;4;9;19;11;42;400
15/02/2013;5;9;22;2;40;400
15/02/2013;6;8;21;2;52;400
15/02/2013;7;10;21;3;63;500
15/02/2013;8;13;22;5;63;500
15/02/2013;9;14;n/d;3;69;600
15/02/2013;10;15;n/d;16;55;500
15/02/2013;11;14;26;25;44;400
15/02/2013;12;15;25;40;34;400
15/02/2013;13;16;25;46;30;400
15/02/2013;14;17;26;50;30;400
15/02/2013;15;12;23;48;33;400
15/02/2013;16;13;25;39;44;400
15/02/2013;17;13;24;24;63;500
15/02/2013;18;13;27;23;60;500
15/02/2013;19;15;30;9;78;600
15/02/2013;20;21;33;8;79;700
15/02/2013;21;20;32;16;68;600
15/02/2013;22;21;31;13;71;600
15/02/2013;23;23;31;9;74;600
15/02/2013;24;24;34;4;74;600
16/02/2013;1;24;35;7;68;600
16/02/2013;2;22;34;4;73;500
16/02/2013;3;19;29;4;75;500
16/02/2013;4;16;29;5;73;600
16/02/2013;5;18;26;8;66;500
16/02/2013;6;18;26;2;71;500
16/02/2013;7;20;29;2;79;700
16/02/2013;8;19;28;2;77;600
16/02/2013;9;21;31;5;79;700
16/02/2013;10;31;40;6;92;900
16/02/2013;11;38;47;13;94;900
16/02/2013;12;38;48;11;91;700
16/02/2013;13;28;35;47;43;400
16/02/2013;14;12;22;57;33;400
16/02/2013;15;11;18;59;30;400
16/02/2013;16;15;19;46;42;400
16/02/2013;17;14;19;39;48;500
16/02/2013;18;16;25;21;62;600
16/02/2013;19;21;31;12;65;700
16/02/2013;20;30;38;5;71;700
16/02/2013;21;34;43;6;67;700
16/02/2013;22;34;43;13;54;700
16/02/2013;23;35;41;9;53;800
16/02/2013;24;33;38;11;48;700
17/02/2013;1;29;35;8;51;600
17/02/2013;2;29;31;16;45;500
17/02/2013;3;29;32;19;42;500
17/02/2013;4;27;28;17;39;500
17/02/2013;5;30;31;10;42;500
17/02/2013;6;33;36;1;52;500
17/02/2013;7;35;34;4;47;500
17/02/2013;8;29;30;12;39;400
17/02/2013;9;25;25;19;34;400
17/02/2013;10;24;25;20;36;400
17/02/2013;11;23;24;27;32;400
17/02/2013;12;22;23;34;29;500
17/02/2013;13;20;21;37;27;400
17/02/2013;14;18;20;48;24;400
17/02/2013;15;19;21;51;23;400
17/02/2013;16;20;22;48;24;400
17/02/2013;17;17;17;42;29;400
17/02/2013;18;19;20;34;35;500
17/02/2013;19;22;23;22;44;600
17/02/2013;20;25;27;15;50;600
17/02/2013;21;30;27;13;50;600
17/02/2013;22;32;30;19;39;500
17/02/2013;23;30;29;18;39;500
17/02/2013;24;29;28;19;39;500
18/02/2013;1;27;26;21;35;600
18/02/2013;2;23;20;23;33;500
18/02/2013;3;23;20;21;32;500
18/02/2013;4;23;21;20;31;500
18/02/2013;5;22;20;14;35;600
18/02/2013;6;24;23;7;43;600
18/02/2013;7;25;24;3;52;700
18/02/2013;8;27;28;4;54;700
18/02/2013;9;30;39;10;47;700
18/02/2013;10;30;37;13;47;600
18/02/2013;11;35;40;16;48;600
18/02/2013;12;35;41;27;38;600
18/02/2013;13;30;31;34;36;500
18/02/2013;14;26;31;44;33;500
18/02/2013;15;24;31;40;38;500
18/02/2013;16;24;27;39;38;500
18/02/2013;17;23;26;31;45;600
18/02/2013;18;23;27;27;47;600
18/02/2013;19;27;28;15;57;700
18/02/2013;20;34;32;8;67;700
18/02/2013;21;34;34;5;70;800
18/02/2013;22;36;35;3;68;800
18/02/2013;23;37;37;4;65;700
18/02/2013;24;39;36;3;68;800
19/02/2013;1;43;42;3;65;600
19/02/2013;2;38;36;5;59;600
19/02/2013;3;35;35;5;57;600
19/02/2013;4;42;42;2;64;900
19/02/2013;5;44;43;1;61;700
19/02/2013;6;40;39;2;64;800
19/02/2013;7;43;44;2;76;1000
19/02/2013;8;45;52;7;87;1100
19/02/2013;9;49;n/d;5;80;900
19/02/2013;10;46;52;9;70;700
19/02/2013;11;45;51;10;82;800
19/02/2013;12;55;59;10;88;800
19/02/2013;13;50;55;20;73;600
19/02/2013;14;40;46;31;60;500
19/02/2013;15;32;40;22;70;600
19/02/2013;16;38;46;19;73;500
19/02/2013;17;33;42;16;73;500
19/02/2013;18;30;36;5;83;600
19/02/2013;19;34;38;5;84;700
19/02/2013;20;37;40;6;81;600
19/02/2013;21;43;44;3;80;500
19/02/2013;22;45;46;2;83;600
19/02/2013;23;48;47;2;75;700
19/02/2013;24;50;52;2;66;600
20/02/2013;1;55;n/d;2;64;600
20/02/2013;2;58;n/d;2;64;700
20/02/2013;3;59;n/d;1;62;700
20/02/2013;4;58;n/d;1;60;600
20/02/2013;5;58;n/d;1;58;500
20/02/2013;6;59;n/d;1;58;600
20/02/2013;7;59;n/d;1;58;600
20/02/2013;8;60;n/d;2;58;600
20/02/2013;9;61;n/d;5;50;600
20/02/2013;10;57;n/d;10;43;600
20/02/2013;11;50;n/d;21;31;600
20/02/2013;12;36;n/d;26;30;500
20/02/2013;13;29;n/d;30;32;500
20/02/2013;14;n/d;n/d;28;35;500
20/02/2013;15;n/d;n/d;26;38;500
20/02/2013;16;n/d;n/d;27;42;400
20/02/2013;17;27;n/d;25;44;400
20/02/2013;18;24;n/d;27;44;400
20/02/2013;19;19;n/d;24;49;500
20/02/2013;20;19;n/d;19;51;400
20/02/2013;21;25;31;8;58;500
20/02/2013;22;26;33;21;48;500
20/02/2013;23;17;22;32;38;400
20/02/2013;24;13;n/d;32;35;400
21/02/2013;1;11;n/d;36;32;300
21/02/2013;2;13;15;35;30;300
21/02/2013;3;11;16;31;31;300
21/02/2013;4;14;20;27;31;300
21/02/2013;5;18;22;21;35;300
21/02/2013;6;22;26;11;44;300
21/02/2013;7;23;30;5;56;400
21/02/2013;8;23;34;10;55;400
21/02/2013;9;23;35;22;44;400
21/02/2013;10;23;35;36;32;300
21/02/2013;11;17;31;44;30;300
21/02/2013;12;17;31;52;27;300
21/02/2013;13;17;25;54;26;300
21/02/2013;14;15;26;57;28;300
21/02/2013;15;13;22;56;29;300
21/02/2013;16;12;20;51;35;300
21/02/2013;17;10;18;51;35;300
21/02/2013;18;11;17;48;36;300
21/02/2013;19;12;19;51;35;300
21/02/2013;20;11;19;51;33;300
21/02/2013;21;12;16;48;34;300
21/02/2013;22;11;17;47;31;300
21/02/2013;23;11;16;38;34;300
21/02/2013;24;15;21;21;43;300
22/02/2013;1;23;29;22;38;200
22/02/2013;2;25;32;24;34;300
22/02/2013;3;23;31;28;33;200
22/02/2013;4;20;24;34;31;200
22/02/2013;5;15;19;31;33;200
22/02/2013;6;20;26;15;44;300
22/02/2013;7;25;32;4;55;300
22/02/2013;8;27;37;9;51;300
22/02/2013;9;24;35;21;50;300
22/02/2013;10;23;33;30;41;300
22/02/2013;11;23;35;49;30;300
22/02/2013;12;22;39;56;27;300
22/02/2013;13;23;31;47;32;300
22/02/2013;14;25;34;45;34;300
22/02/2013;15;24;34;41;38;300
22/02/2013;16;24;32;47;36;300
22/02/2013;17;25;33;30;48;300
22/02/2013;18;26;37;30;49;400
22/02/2013;19;28;41;23;55;400
22/02/2013;20;30;41;30;49;300
22/02/2013;21;33;41;27;47;300
22/02/2013;22;34;40;34;39;300
22/02/2013;23;35;44;34;35;300
22/02/2013;24;34;39;32;37;300
23/02/2013;1;33;40;35;33;300
23/02/2013;2;34;39;36;30;300
23/02/2013;3;35;41;32;31;300
23/02/2013;4;37;44;34;30;300
23/02/2013;5;39;n/d;32;31;300
23/02/2013;6;43;n/d;22;39;300
23/02/2013;7;48;58;23;44;300
23/02/2013;8;49;55;23;43;400
23/02/2013;9;48;55;34;36;400
23/02/2013;10;49;57;40;32;400
23/02/2013;11;54;62;40;30;400
23/02/2013;12;55;63;41;33;400
23/02/2013;13;57;67;38;37;400
23/02/2013;14;60;69;39;37;400
23/02/2013;15;54;64;39;39;400
23/02/2013;16;48;59;40;44;400
23/02/2013;17;47;56;30;52;500
23/02/2013;18;50;57;24;58;500
23/02/2013;19;48;59;29;53;500
23/02/2013;20;45;57;28;51;500
23/02/2013;21;46;53;33;42;500
23/02/2013;22;43;51;31;40;500
23/02/2013;23;43;52;28;41;500
23/02/2013;24;39;45;29;37;400
24/02/2013;1;34;43;35;33;400
24/02/2013;2;30;42;38;30;400
24/02/2013;3;31;38;39;28;400
24/02/2013;4;29;36;39;28;400
24/02/2013;5;28;36;41;26;400
24/02/2013;6;27;34;37;27;400
24/02/2013;7;30;35;30;33;400
24/02/2013;8;31;36;29;36;500
24/02/2013;9;30;36;38;28;400
24/02/2013;10;30;35;40;25;400
24/02/2013;11;28;33;42;26;500
24/02/2013;12;26;31;41;30;500
24/02/2013;13;25;32;43;32;500
24/02/2013;14;24;29;46;29;500
24/02/2013;15;24;29;45;31;500
24/02/2013;16;23;29;43;33;500
24/02/2013;17;23;26;37;40;500
24/02/2013;18;24;28;34;42;500
24/02/2013;19;26;30;30;45;600
24/02/2013;20;27;35;29;44;600
24/02/2013;21;28;31;31;38;600
24/02/2013;22;28;33;32;35;500
24/02/2013;23;27;31;32;33;500
24/02/2013;24;25;28;31;32;500
25/02/2013;1;25;31;31;30;400
25/02/2013;2;25;28;33;27;400
25/02/2013;3;25;28;31;27;400
25/02/2013;4;27;30;31;26;400
25/02/2013;5;26;30;25;32;400
25/02/2013;6;27;30;11;47;400
25/02/2013;7;28;32;4;59;400
25/02/2013;8;28;33;3;58;500
25/02/2013;9;30;37;4;55;500
25/02/2013;10;32;38;4;56;500
25/02/2013;11;32;39;6;52;500
25/02/2013;12;31;37;9;48;500
25/02/2013;13;33;34;13;45;600
25/02/2013;14;34;37;14;45;500
25/02/2013;15;31;37;9;54;500
25/02/2013;16;29;34;5;60;500
25/02/2013;17;30;36;3;64;600
25/02/2013;18;31;38;2;68;600
25/02/2013;19;33;37;2;64;700
25/02/2013;20;34;39;2;63;700
25/02/2013;21;35;40;2;63;600
25/02/2013;22;33;38;1;59;600
25/02/2013;23;29;33;1;55;500
25/02/2013;24;25;28;0;55;600
26/02/2013;1;23;27;1;54;700
26/02/2013;2;22;25;1;49;700
26/02/2013;3;21;24;2;46;700
26/02/2013;4;20;23;2;44;800
26/02/2013;5;20;25;1;43;800
26/02/2013;6;21;25;1;44;800
26/02/2013;7;23;26;1;44;800
26/02/2013;8;23;27;5;41;800
26/02/2013;9;25;32;6;42;800
26/02/2013;10;28;37;15;39;800
26/02/2013;11;31;42;23;37;800
26/02/2013;12;32;39;29;40;800
26/02/2013;13;39;46;35;40;800
26/02/2013;14;35;43;36;40;800
26/02/2013;15;30;35;24;45;700
26/02/2013;16;29;35;17;52;800
26/02/2013;17;34;41;13;59;800
26/02/2013;18;38;45;7;64;800
26/02/2013;19;38;45;6;65;800
26/02/2013;20;41;49;2;67;800
26/02/2013;21;45;53;2;66;800
26/02/2013;22;47;55;2;62;800
26/02/2013;23;46;54;2;59;800
26/02/2013;24;47;53;2;55;800
27/02/2013;1;49;58;1;55;600
27/02/2013;2;51;61;1;53;600
27/02/2013;3;54;65;2;49;600
27/02/2013;4;57;71;4;44;500
27/02/2013;5;57;70;5;40;500
27/02/2013;6;56;71;2;43;500
27/02/2013;7;54;67;0;49;500
27/02/2013;8;50;62;1;51;600
27/02/2013;9;49;62;2;44;600
27/02/2013;10;46;59;n/d;n/d;n/d
27/02/2013;11;49;58;n/d;n/d;n/d
27/02/2013;12;51;63;n/d;n/d;n/d
27/02/2013;13;50;60;3;41;600
27/02/2013;14;45;56;4;41;600
27/02/2013;15;38;51;3;41;500
27/02/2013;16;31;42;3;43;600
27/02/2013;17;27;38;2;45;600
27/02/2013;18;28;39;1;47;600
27/02/2013;19;29;40;1;47;600
27/02/2013;20;30;39;1;50;600
27/02/2013;21;32;42;1;48;600
27/02/2013;22;34;43;1;47;500
27/02/2013;23;34;41;1;48;500
27/02/2013;24;33;41;2;49;500
28/02/2013;1;32;38;1;45;300
28/02/2013;2;29;36;3;42;300
28/02/2013;3;27;34;5;38;300
28/02/2013;4;24;29;6;36;300
28/02/2013;5;23;28;4;42;300
28/02/2013;6;25;31;2;49;300
28/02/2013;7;23;31;2;59;300
28/02/2013;8;23;32;4;59;300
28/02/2013;9;23;35;5;61;400
28/02/2013;10;21;35;17;40;400
28/02/2013;11;21;31;15;40;400
28/02/2013;12;24;33;16;40;400
28/02/2013;13;24;34;14;44;400
28/02/2013;14;23;36;14;44;300
28/02/2013;15;21;34;13;46;400
28/02/2013;16;20;28;8;52;300
28/02/2013;17;16;27;5;56;400
28/02/2013;18;16;25;2;58;400
28/02/2013;19;17;27;2;58;400
28/02/2013;20;19;26;3;57;400
28/02/2013;21;22;28;2;59;400
28/02/2013;22;24;29;2;53;400
28/02/2013;23;24;30;2;50;400
28/02/2013;24;25;32;2;46;400
01/03/2013;1;27;34;2;48;400
01/03/2013;2;26;34;3;44;400
01/03/2013;3;28;35;3;40;400
01/03/2013;4;32;38;2;40;400
01/03/2013;5;34;40;1;42;400
01/03/2013;6;33;43;2;44;400
01/03/2013;7;34;44;1;51;500
01/03/2013;8;36;47;2;57;500
01/03/2013;9;40;53;3;58;600
01/03/2013;10;41;56;4;56;500
01/03/2013;11;45;61;3;53;500
01/03/2013;12;52;68;6;49;500
01/03/2013;13;54;72;7;50;500
01/03/2013;14;50;65;10;47;400
01/03/2013;15;47;60;13;46;400
01/03/2013;16;39;51;25;44;400
01/03/2013;17;35;48;20;52;400
01/03/2013;18;34;41;18;59;400
01/03/2013;19;30;35;23;55;400
01/03/2013;20;21;29;25;48;300
01/03/2013;21;24;32;27;48;300
01/03/2013;22;23;29;34;39;300
01/03/2013;23;22;31;40;33;300
01/03/2013;24;26;35;35;36;300
02/03/2013;1;27;39;40;31;200
02/03/2013;2;27;38;46;26;200
02/03/2013;3;24;38;49;24;200
02/03/2013;4;23;38;52;21;200
02/03/2013;5;25;38;55;18;200
02/03/2013;6;26;36;47;25;200
02/03/2013;7;24;37;46;24;300
02/03/2013;8;27;39;41;28;300
02/03/2013;9;30;44;39;32;300
02/03/2013;10;30;43;44;28;300
02/03/2013;11;26;40;45;26;300
02/03/2013;12;27;40;44;28;300
02/03/2013;13;31;42;42;30;300
02/03/2013;14;33;48;47;26;300
02/03/2013;15;32;48;44;32;300
02/03/2013;16;31;45;38;39;400
02/03/2013;17;31;48;33;43;400
02/03/2013;18;34;47;36;41;400
02/03/2013;19;33;48;38;37;400
02/03/2013;20;36;50;33;38;400
02/03/2013;21;41;57;35;36;400
02/03/2013;22;48;64;34;34;400
02/03/2013;23;51;70;37;29;400
02/03/2013;24;52;70;33;30;400
03/03/2013;1;46;66;33;32;400
03/03/2013;2;46;63;31;31;400
03/03/2013;3;47;64;31;32;400
03/03/2013;4;45;64;37;27;400
03/03/2013;5;44;61;41;22;500
