date;heure;PM25;PM10;NO2;O3;CO
18/09/2011;9;n/d;13;n/d;n/d;n/d
18/09/2011;10;n/d;15;n/d;n/d;n/d
18/09/2011;11;n/d;13;n/d;n/d;n/d
18/09/2011;12;n/d;15;n/d;n/d;n/d
18/09/2011;13;n/d;15;n/d;n/d;n/d
18/09/2011;14;n/d;16;n/d;n/d;n/d
18/09/2011;15;n/d;14;n/d;n/d;n/d
18/09/2011;16;n/d;10;n/d;n/d;n/d
18/09/2011;17;n/d;12;n/d;n/d;n/d
18/09/2011;18;n/d;10;n/d;n/d;n/d
18/09/2011;19;n/d;7;n/d;n/d;n/d
18/09/2011;20;n/d;7;n/d;n/d;n/d
18/09/2011;21;n/d;6;n/d;n/d;n/d
18/09/2011;22;n/d;5;n/d;n/d;n/d
18/09/2011;23;n/d;6;n/d;n/d;n/d
18/09/2011;24;n/d;5;n/d;n/d;n/d
19/09/2011;1;n/d;5;n/d;n/d;n/d
19/09/2011;2;n/d;6;n/d;n/d;n/d
19/09/2011;3;n/d;7;n/d;n/d;n/d
19/09/2011;4;n/d;8;n/d;n/d;n/d
19/09/2011;5;n/d;10;n/d;n/d;n/d
19/09/2011;6;n/d;13;n/d;n/d;n/d
19/09/2011;7;n/d;18;n/d;n/d;n/d
19/09/2011;8;n/d;25;n/d;n/d;n/d
19/09/2011;9;n/d;26;n/d;n/d;n/d
19/09/2011;10;n/d;24;n/d;n/d;n/d
19/09/2011;11;n/d;22;n/d;n/d;n/d
19/09/2011;12;n/d;19;n/d;n/d;n/d
19/09/2011;13;n/d;26;n/d;n/d;n/d
19/09/2011;14;n/d;25;n/d;n/d;n/d
19/09/2011;15;n/d;26;n/d;n/d;n/d
19/09/2011;16;n/d;23;n/d;n/d;n/d
19/09/2011;17;n/d;20;n/d;n/d;n/d
19/09/2011;18;n/d;21;n/d;n/d;n/d
19/09/2011;19;n/d;23;n/d;n/d;n/d
19/09/2011;20;n/d;25;n/d;n/d;n/d
19/09/2011;21;n/d;22;n/d;n/d;n/d
19/09/2011;22;n/d;20;n/d;n/d;n/d
19/09/2011;23;n/d;17;n/d;n/d;n/d
19/09/2011;24;n/d;14;n/d;n/d;n/d
20/09/2011;1;n/d;14;n/d;n/d;n/d
20/09/2011;2;n/d;9;n/d;n/d;n/d
20/09/2011;3;n/d;8;n/d;n/d;n/d
20/09/2011;4;n/d;10;n/d;n/d;n/d
20/09/2011;5;n/d;13;n/d;n/d;n/d
20/09/2011;6;n/d;16;n/d;n/d;n/d
20/09/2011;7;n/d;21;n/d;n/d;n/d
20/09/2011;8;n/d;24;n/d;n/d;n/d
20/09/2011;9;n/d;n/d;n/d;n/d;n/d
20/09/2011;10;n/d;n/d;n/d;n/d;n/d
20/09/2011;11;n/d;n/d;n/d;n/d;n/d
20/09/2011;12;n/d;n/d;n/d;n/d;n/d
20/09/2011;13;n/d;n/d;n/d;n/d;n/d
20/09/2011;14;n/d;18;n/d;n/d;n/d
20/09/2011;15;n/d;17;n/d;n/d;n/d
20/09/2011;16;n/d;16;n/d;n/d;n/d
20/09/2011;17;n/d;18;n/d;n/d;n/d
20/09/2011;18;n/d;19;n/d;n/d;n/d
20/09/2011;19;n/d;21;n/d;n/d;n/d
20/09/2011;20;n/d;19;n/d;n/d;n/d
20/09/2011;21;n/d;17;n/d;n/d;n/d
20/09/2011;22;n/d;15;n/d;n/d;n/d
20/09/2011;23;n/d;15;n/d;n/d;n/d
20/09/2011;24;n/d;16;n/d;n/d;n/d
21/09/2011;1;n/d;15;n/d;n/d;n/d
21/09/2011;2;n/d;16;n/d;n/d;n/d
21/09/2011;3;n/d;16;n/d;n/d;n/d
21/09/2011;4;n/d;18;n/d;n/d;n/d
21/09/2011;5;n/d;20;n/d;n/d;n/d
21/09/2011;6;n/d;21;n/d;n/d;n/d
21/09/2011;7;n/d;24;n/d;n/d;n/d
21/09/2011;8;n/d;29;n/d;n/d;n/d
21/09/2011;9;n/d;32;n/d;n/d;n/d
21/09/2011;10;n/d;27;n/d;n/d;n/d
21/09/2011;11;n/d;24;n/d;n/d;n/d
21/09/2011;12;n/d;20;n/d;n/d;n/d
21/09/2011;13;n/d;22;n/d;n/d;n/d
21/09/2011;14;n/d;21;28;n/d;n/d
21/09/2011;15;n/d;19;28;n/d;n/d
21/09/2011;16;n/d;19;28;n/d;n/d
21/09/2011;17;n/d;20;34;n/d;n/d
21/09/2011;18;n/d;20;50;n/d;n/d
21/09/2011;19;n/d;21;52;n/d;n/d
21/09/2011;20;n/d;20;41;n/d;n/d
21/09/2011;21;n/d;19;40;n/d;n/d
21/09/2011;22;n/d;16;36;n/d;n/d
21/09/2011;23;n/d;12;32;n/d;n/d
21/09/2011;24;n/d;12;23;n/d;n/d
22/09/2011;1;n/d;13;13;n/d;n/d
22/09/2011;2;n/d;13;7;n/d;n/d
22/09/2011;3;n/d;11;5;n/d;n/d
22/09/2011;4;n/d;6;8;n/d;n/d
22/09/2011;5;n/d;8;14;n/d;n/d
22/09/2011;6;n/d;13;26;n/d;n/d
22/09/2011;7;n/d;20;42;n/d;n/d
22/09/2011;8;n/d;28;47;n/d;n/d
22/09/2011;9;n/d;32;46;n/d;n/d
22/09/2011;10;n/d;31;37;n/d;n/d
22/09/2011;11;n/d;29;26;n/d;n/d
22/09/2011;12;n/d;26;22;n/d;n/d
22/09/2011;13;n/d;30;28;n/d;n/d
22/09/2011;14;n/d;32;30;n/d;n/d
22/09/2011;15;n/d;32;28;n/d;n/d
22/09/2011;16;n/d;28;24;n/d;n/d
22/09/2011;17;n/d;26;33;n/d;n/d
22/09/2011;18;n/d;30;45;n/d;n/d
22/09/2011;19;n/d;31;34;n/d;n/d
22/09/2011;20;n/d;29;38;n/d;n/d
22/09/2011;21;n/d;27;51;n/d;n/d
22/09/2011;22;n/d;26;53;n/d;n/d
22/09/2011;23;n/d;27;46;n/d;n/d
22/09/2011;24;n/d;30;43;n/d;n/d
23/09/2011;1;n/d;30;32;n/d;n/d
23/09/2011;2;n/d;29;37;n/d;n/d
23/09/2011;3;n/d;28;35;n/d;n/d
23/09/2011;4;n/d;28;49;n/d;n/d
23/09/2011;5;n/d;32;61;n/d;n/d
23/09/2011;6;n/d;39;67;n/d;n/d
23/09/2011;7;n/d;53;76;n/d;n/d
23/09/2011;8;n/d;61;76;n/d;n/d
23/09/2011;9;n/d;50;61;n/d;n/d
23/09/2011;10;n/d;45;50;n/d;n/d
23/09/2011;11;n/d;38;27;n/d;n/d
23/09/2011;12;n/d;35;29;n/d;n/d
23/09/2011;13;n/d;37;32;n/d;n/d
23/09/2011;14;n/d;35;31;n/d;n/d
23/09/2011;15;n/d;32;28;n/d;n/d
23/09/2011;16;n/d;31;26;n/d;n/d
23/09/2011;17;n/d;31;34;n/d;n/d
23/09/2011;18;n/d;30;38;n/d;n/d
23/09/2011;19;n/d;31;56;n/d;n/d
23/09/2011;20;n/d;35;68;n/d;n/d
23/09/2011;21;n/d;36;56;n/d;n/d
23/09/2011;22;n/d;32;45;n/d;n/d
23/09/2011;23;n/d;30;45;n/d;n/d
23/09/2011;24;n/d;29;37;n/d;n/d
24/09/2011;1;n/d;27;32;n/d;n/d
24/09/2011;2;n/d;25;27;n/d;n/d
24/09/2011;3;n/d;26;52;n/d;n/d
24/09/2011;4;n/d;30;50;n/d;n/d
24/09/2011;5;n/d;31;52;n/d;n/d
24/09/2011;6;n/d;31;55;n/d;n/d
24/09/2011;7;n/d;30;48;n/d;n/d
24/09/2011;8;n/d;32;47;n/d;n/d
24/09/2011;9;n/d;35;52;n/d;n/d
24/09/2011;10;n/d;40;57;n/d;n/d
24/09/2011;11;n/d;40;57;n/d;n/d
24/09/2011;12;n/d;38;51;n/d;n/d
24/09/2011;13;n/d;34;37;n/d;n/d
24/09/2011;14;n/d;31;38;n/d;n/d
24/09/2011;15;n/d;31;41;n/d;n/d
24/09/2011;16;n/d;33;38;n/d;n/d
24/09/2011;17;n/d;33;55;n/d;n/d
24/09/2011;18;n/d;33;69;n/d;n/d
24/09/2011;19;n/d;41;96;n/d;n/d
24/09/2011;20;n/d;55;112;n/d;n/d
24/09/2011;21;n/d;55;105;n/d;n/d
24/09/2011;22;n/d;52;106;n/d;n/d
24/09/2011;23;n/d;50;100;n/d;n/d
24/09/2011;24;n/d;50;102;n/d;n/d
25/09/2011;1;n/d;55;112;n/d;n/d
25/09/2011;2;n/d;64;106;n/d;n/d
25/09/2011;3;n/d;61;82;n/d;n/d
25/09/2011;4;n/d;51;74;n/d;n/d
25/09/2011;5;n/d;46;69;n/d;n/d
25/09/2011;6;n/d;47;63;n/d;n/d
25/09/2011;7;n/d;42;51;n/d;n/d
25/09/2011;8;n/d;38;45;n/d;n/d
25/09/2011;9;n/d;38;46;n/d;n/d
25/09/2011;10;n/d;40;45;n/d;n/d
25/09/2011;11;n/d;35;28;n/d;n/d
25/09/2011;12;n/d;32;21;n/d;n/d
25/09/2011;13;n/d;28;21;n/d;n/d
25/09/2011;14;n/d;28;20;n/d;n/d
25/09/2011;15;n/d;28;25;n/d;n/d
25/09/2011;16;n/d;29;32;n/d;n/d
25/09/2011;17;n/d;31;44;n/d;n/d
25/09/2011;18;n/d;32;69;n/d;n/d
25/09/2011;19;n/d;32;70;n/d;n/d
25/09/2011;20;n/d;34;87;n/d;n/d
25/09/2011;21;n/d;35;89;n/d;n/d
25/09/2011;22;n/d;30;70;n/d;n/d
25/09/2011;23;n/d;24;45;n/d;n/d
25/09/2011;24;n/d;23;67;n/d;n/d
26/09/2011;1;n/d;25;54;n/d;n/d
26/09/2011;2;n/d;22;34;n/d;n/d
26/09/2011;3;n/d;21;58;n/d;n/d
26/09/2011;4;n/d;28;63;n/d;n/d
26/09/2011;5;n/d;29;70;n/d;n/d
26/09/2011;6;n/d;31;80;n/d;n/d
26/09/2011;7;n/d;33;82;n/d;n/d
26/09/2011;8;n/d;42;93;n/d;n/d
26/09/2011;9;n/d;54;93;n/d;n/d
26/09/2011;10;n/d;44;53;n/d;n/d
26/09/2011;11;n/d;28;25;n/d;n/d
26/09/2011;12;n/d;28;28;n/d;n/d
26/09/2011;13;n/d;30;27;n/d;n/d
26/09/2011;14;n/d;26;27;n/d;n/d
26/09/2011;15;n/d;29;34;n/d;n/d
26/09/2011;16;n/d;31;43;n/d;n/d
26/09/2011;17;n/d;26;46;n/d;n/d
26/09/2011;18;n/d;29;67;n/d;n/d
26/09/2011;19;n/d;35;93;n/d;n/d
26/09/2011;20;n/d;45;97;n/d;n/d
26/09/2011;21;n/d;39;80;n/d;n/d
26/09/2011;22;n/d;27;60;n/d;n/d
26/09/2011;23;n/d;20;40;n/d;n/d
26/09/2011;24;n/d;17;30;n/d;n/d
27/09/2011;1;n/d;17;38;n/d;n/d
27/09/2011;2;n/d;18;47;n/d;n/d
27/09/2011;3;n/d;20;41;n/d;n/d
27/09/2011;4;n/d;22;31;n/d;n/d
27/09/2011;5;n/d;23;39;n/d;n/d
27/09/2011;6;n/d;26;48;n/d;n/d
27/09/2011;7;n/d;34;48;n/d;n/d
27/09/2011;8;n/d;45;53;n/d;n/d
27/09/2011;9;n/d;53;57;n/d;n/d
27/09/2011;10;n/d;52;59;n/d;n/d
27/09/2011;11;n/d;49;59;n/d;n/d
27/09/2011;12;n/d;36;36;n/d;n/d
27/09/2011;13;n/d;26;29;n/d;n/d
27/09/2011;14;n/d;26;26;n/d;n/d
27/09/2011;15;n/d;26;27;n/d;n/d
27/09/2011;16;n/d;26;25;n/d;n/d
27/09/2011;17;n/d;23;34;n/d;n/d
27/09/2011;18;n/d;24;46;n/d;n/d
27/09/2011;19;n/d;29;70;n/d;n/d
27/09/2011;20;n/d;34;83;n/d;n/d
27/09/2011;21;n/d;27;67;n/d;n/d
27/09/2011;22;n/d;21;43;n/d;n/d
27/09/2011;23;n/d;23;47;n/d;n/d
27/09/2011;24;n/d;24;35;n/d;n/d
28/09/2011;1;n/d;22;37;n/d;n/d
28/09/2011;2;n/d;22;34;n/d;n/d
28/09/2011;3;n/d;23;37;n/d;n/d
28/09/2011;4;n/d;24;43;n/d;n/d
28/09/2011;5;n/d;27;48;n/d;n/d
28/09/2011;6;n/d;40;56;n/d;n/d
28/09/2011;7;n/d;49;62;n/d;n/d
28/09/2011;8;n/d;52;69;n/d;n/d
28/09/2011;9;n/d;49;61;n/d;n/d
28/09/2011;10;n/d;48;62;n/d;n/d
28/09/2011;11;n/d;45;58;n/d;n/d
28/09/2011;12;n/d;43;43;n/d;n/d
28/09/2011;13;n/d;37;33;n/d;n/d
28/09/2011;14;n/d;35;35;n/d;n/d
28/09/2011;15;n/d;34;26;n/d;n/d
28/09/2011;16;n/d;34;30;n/d;n/d
28/09/2011;17;n/d;35;34;n/d;n/d
28/09/2011;18;n/d;43;64;n/d;n/d
28/09/2011;19;n/d;44;91;n/d;n/d
28/09/2011;20;n/d;44;86;n/d;n/d
28/09/2011;21;n/d;39;44;n/d;n/d
28/09/2011;22;n/d;35;39;n/d;n/d
28/09/2011;23;n/d;34;51;n/d;n/d
28/09/2011;24;n/d;34;45;n/d;n/d
29/09/2011;1;n/d;31;36;n/d;n/d
29/09/2011;2;n/d;28;29;n/d;n/d
29/09/2011;3;n/d;27;34;n/d;n/d
29/09/2011;4;n/d;28;37;n/d;n/d
29/09/2011;5;n/d;29;56;n/d;n/d
29/09/2011;6;n/d;33;73;n/d;n/d
29/09/2011;7;n/d;40;88;n/d;n/d
29/09/2011;8;n/d;64;101;n/d;n/d
29/09/2011;9;n/d;75;100;n/d;n/d
29/09/2011;10;n/d;76;96;n/d;n/d
29/09/2011;11;n/d;66;72;n/d;n/d
29/09/2011;12;n/d;53;67;n/d;n/d
29/09/2011;13;n/d;43;55;n/d;n/d
29/09/2011;14;n/d;37;56;n/d;n/d
29/09/2011;15;n/d;32;55;n/d;n/d
29/09/2011;16;n/d;25;49;n/d;n/d
29/09/2011;17;n/d;31;80;n/d;n/d
29/09/2011;18;n/d;40;100;n/d;n/d
29/09/2011;19;n/d;50;127;n/d;n/d
29/09/2011;20;n/d;56;118;n/d;n/d
29/09/2011;21;n/d;52;101;n/d;n/d
29/09/2011;22;n/d;50;93;n/d;n/d
29/09/2011;23;n/d;50;95;n/d;n/d
29/09/2011;24;n/d;47;79;n/d;n/d
30/09/2011;1;n/d;45;84;n/d;n/d
30/09/2011;2;n/d;46;91;n/d;n/d
30/09/2011;3;n/d;46;80;n/d;n/d
30/09/2011;4;n/d;42;68;n/d;n/d
30/09/2011;5;n/d;40;76;n/d;n/d
30/09/2011;6;n/d;47;92;n/d;n/d
30/09/2011;7;n/d;64;101;n/d;n/d
30/09/2011;8;n/d;79;99;n/d;n/d
30/09/2011;9;n/d;83;96;n/d;n/d
30/09/2011;10;n/d;88;103;n/d;n/d
30/09/2011;11;n/d;82;107;n/d;n/d
30/09/2011;12;n/d;69;77;n/d;n/d
30/09/2011;13;n/d;55;58;n/d;n/d
30/09/2011;14;n/d;43;54;n/d;n/d
30/09/2011;15;n/d;41;60;n/d;n/d
30/09/2011;16;n/d;42;69;n/d;n/d
30/09/2011;17;n/d;44;n/d;n/d;n/d
30/09/2011;18;n/d;41;101;n/d;n/d
30/09/2011;19;n/d;47;149;n/d;n/d
30/09/2011;20;n/d;57;141;n/d;n/d
30/09/2011;21;n/d;54;133;n/d;n/d
30/09/2011;22;n/d;56;135;n/d;n/d
30/09/2011;23;n/d;55;118;n/d;n/d
30/09/2011;24;n/d;46;109;n/d;n/d
01/10/2011;1;n/d;43;101;n/d;n/d
01/10/2011;2;n/d;39;84;n/d;n/d
01/10/2011;3;n/d;36;84;n/d;n/d
01/10/2011;4;n/d;37;85;n/d;n/d
01/10/2011;5;n/d;39;77;n/d;n/d
01/10/2011;6;n/d;40;79;n/d;n/d
01/10/2011;7;n/d;44;84;n/d;n/d
01/10/2011;8;n/d;50;84;n/d;n/d
01/10/2011;9;n/d;50;85;n/d;n/d
01/10/2011;10;n/d;48;92;n/d;n/d
01/10/2011;11;n/d;46;97;n/d;n/d
01/10/2011;12;n/d;39;74;n/d;n/d
01/10/2011;13;n/d;40;46;n/d;n/d
01/10/2011;14;n/d;42;29;n/d;n/d
01/10/2011;15;n/d;37;42;n/d;n/d
01/10/2011;16;n/d;37;43;n/d;n/d
01/10/2011;17;n/d;35;47;n/d;n/d
01/10/2011;18;n/d;37;75;n/d;n/d
01/10/2011;19;n/d;42;118;n/d;n/d
01/10/2011;20;n/d;44;122;n/d;n/d
01/10/2011;21;n/d;43;105;n/d;n/d
01/10/2011;22;n/d;50;135;n/d;n/d
01/10/2011;23;n/d;54;137;n/d;n/d
01/10/2011;24;n/d;54;129;n/d;n/d
02/10/2011;1;n/d;59;116;n/d;n/d
02/10/2011;2;n/d;72;n/d;n/d;n/d
02/10/2011;3;n/d;61;102;n/d;n/d
02/10/2011;4;n/d;50;96;n/d;n/d
02/10/2011;5;n/d;48;96;n/d;n/d
02/10/2011;6;n/d;53;88;n/d;n/d
02/10/2011;7;n/d;54;88;n/d;n/d
02/10/2011;8;n/d;57;89;n/d;n/d
02/10/2011;9;n/d;54;79;n/d;n/d
02/10/2011;10;n/d;49;63;n/d;n/d
02/10/2011;11;n/d;43;46;n/d;n/d
02/10/2011;12;n/d;38;38;n/d;n/d
02/10/2011;13;n/d;38;23;n/d;n/d
02/10/2011;14;n/d;36;17;n/d;n/d
02/10/2011;15;n/d;39;19;n/d;n/d
02/10/2011;16;n/d;36;26;n/d;n/d
02/10/2011;17;n/d;41;36;n/d;n/d
02/10/2011;18;n/d;43;54;n/d;n/d
02/10/2011;19;n/d;47;94;n/d;n/d
02/10/2011;20;n/d;47;119;n/d;n/d
02/10/2011;21;n/d;53;142;n/d;n/d
02/10/2011;22;n/d;49;140;n/d;n/d
02/10/2011;23;n/d;53;151;n/d;n/d
02/10/2011;24;n/d;64;152;n/d;n/d
03/10/2011;1;n/d;75;141;n/d;n/d
03/10/2011;2;n/d;69;119;n/d;n/d
03/10/2011;3;n/d;67;108;n/d;n/d
03/10/2011;4;n/d;58;98;n/d;n/d
03/10/2011;5;n/d;59;98;n/d;n/d
03/10/2011;6;n/d;68;115;n/d;n/d
03/10/2011;7;n/d;82;124;n/d;n/d
03/10/2011;8;n/d;94;147;n/d;n/d
03/10/2011;9;n/d;113;167;n/d;n/d
03/10/2011;10;n/d;125;157;n/d;n/d
03/10/2011;11;n/d;100;125;n/d;n/d
03/10/2011;12;n/d;65;68;n/d;n/d
03/10/2011;13;n/d;48;38;n/d;n/d
03/10/2011;14;n/d;39;36;n/d;n/d
03/10/2011;15;n/d;36;46;n/d;n/d
03/10/2011;16;n/d;37;56;n/d;n/d
03/10/2011;17;n/d;41;70;n/d;n/d
03/10/2011;18;n/d;45;133;n/d;n/d
03/10/2011;19;n/d;47;142;n/d;n/d
03/10/2011;20;n/d;46;129;n/d;n/d
03/10/2011;21;n/d;41;123;n/d;n/d
03/10/2011;22;n/d;34;119;n/d;n/d
03/10/2011;23;n/d;32;99;n/d;n/d
03/10/2011;24;n/d;28;67;n/d;n/d
04/10/2011;1;n/d;27;33;n/d;n/d
04/10/2011;2;n/d;25;25;n/d;n/d
04/10/2011;3;n/d;29;18;n/d;n/d
04/10/2011;4;n/d;34;16;n/d;n/d
04/10/2011;5;n/d;29;25;n/d;n/d
04/10/2011;6;n/d;25;42;n/d;n/d
04/10/2011;7;n/d;18;47;n/d;n/d
04/10/2011;8;n/d;23;50;n/d;n/d
04/10/2011;9;n/d;29;41;n/d;n/d
04/10/2011;10;n/d;33;33;n/d;n/d
04/10/2011;11;n/d;28;35;n/d;n/d
04/10/2011;12;n/d;25;30;n/d;n/d
04/10/2011;13;n/d;27;29;n/d;n/d
04/10/2011;14;n/d;30;36;n/d;n/d
04/10/2011;15;n/d;23;35;n/d;n/d
04/10/2011;16;n/d;20;34;n/d;n/d
04/10/2011;17;n/d;22;36;n/d;n/d
04/10/2011;18;n/d;25;44;n/d;n/d
04/10/2011;19;n/d;28;54;n/d;n/d
04/10/2011;20;n/d;26;41;n/d;n/d
04/10/2011;21;n/d;18;35;n/d;n/d
04/10/2011;22;n/d;21;50;n/d;n/d
04/10/2011;23;n/d;17;45;n/d;n/d
04/10/2011;24;n/d;16;38;n/d;n/d
05/10/2011;1;n/d;16;30;n/d;n/d
05/10/2011;2;n/d;15;23;n/d;n/d
05/10/2011;3;n/d;16;29;n/d;n/d
05/10/2011;4;n/d;13;18;n/d;n/d
05/10/2011;5;n/d;14;32;n/d;n/d
05/10/2011;6;n/d;18;44;n/d;n/d
05/10/2011;7;n/d;21;50;n/d;n/d
05/10/2011;8;n/d;21;44;n/d;n/d
05/10/2011;9;n/d;20;53;n/d;n/d
05/10/2011;10;n/d;n/d;n/d;n/d;n/d
05/10/2011;11;n/d;n/d;36;n/d;n/d
05/10/2011;12;n/d;18;39;n/d;n/d
05/10/2011;13;n/d;28;30;n/d;n/d
05/10/2011;14;n/d;22;30;n/d;n/d
05/10/2011;15;n/d;19;34;n/d;n/d
05/10/2011;16;n/d;19;37;n/d;n/d
05/10/2011;17;n/d;20;42;n/d;n/d
05/10/2011;18;n/d;23;47;n/d;n/d
05/10/2011;19;n/d;23;53;n/d;n/d
05/10/2011;20;n/d;23;49;n/d;n/d
05/10/2011;21;n/d;15;30;n/d;n/d
05/10/2011;22;n/d;15;36;n/d;n/d
05/10/2011;23;n/d;16;31;n/d;n/d
05/10/2011;24;n/d;15;23;n/d;n/d
06/10/2011;1;n/d;16;13;n/d;n/d
06/10/2011;2;n/d;15;8;n/d;n/d
06/10/2011;3;n/d;14;7;n/d;n/d
06/10/2011;4;n/d;12;9;n/d;n/d
06/10/2011;5;n/d;14;20;n/d;n/d
06/10/2011;6;n/d;16;35;n/d;n/d
06/10/2011;7;n/d;23;42;n/d;n/d
06/10/2011;8;n/d;28;47;n/d;n/d
06/10/2011;9;n/d;24;39;n/d;n/d
06/10/2011;10;n/d;23;30;n/d;n/d
06/10/2011;11;n/d;21;24;n/d;n/d
06/10/2011;12;n/d;12;25;n/d;n/d
06/10/2011;13;n/d;12;30;n/d;n/d
06/10/2011;14;n/d;21;28;n/d;n/d
06/10/2011;15;n/d;35;19;n/d;n/d
06/10/2011;16;n/d;34;22;n/d;n/d
06/10/2011;17;n/d;31;34;n/d;n/d
06/10/2011;18;n/d;34;39;n/d;n/d
06/10/2011;19;n/d;34;37;n/d;n/d
06/10/2011;20;n/d;30;31;n/d;n/d
06/10/2011;21;n/d;25;22;n/d;n/d
06/10/2011;22;n/d;23;21;n/d;n/d
06/10/2011;23;n/d;21;15;n/d;n/d
06/10/2011;24;n/d;19;9;n/d;n/d
07/10/2011;1;n/d;17;8;n/d;n/d
07/10/2011;2;n/d;15;6;n/d;n/d
07/10/2011;3;n/d;14;6;n/d;n/d
07/10/2011;4;n/d;17;8;n/d;n/d
07/10/2011;5;n/d;18;17;n/d;n/d
07/10/2011;6;n/d;19;32;n/d;n/d
07/10/2011;7;n/d;22;46;n/d;n/d
07/10/2011;8;n/d;26;41;n/d;n/d
07/10/2011;9;n/d;27;36;n/d;n/d
07/10/2011;10;n/d;27;29;n/d;n/d
07/10/2011;11;n/d;28;24;n/d;n/d
07/10/2011;12;n/d;31;33;n/d;n/d
07/10/2011;13;n/d;29;21;n/d;n/d
07/10/2011;14;n/d;19;24;n/d;n/d
07/10/2011;15;n/d;26;32;n/d;n/d
07/10/2011;16;n/d;n/d;35;n/d;n/d
07/10/2011;17;n/d;17;39;n/d;n/d
07/10/2011;18;n/d;16;43;n/d;n/d
07/10/2011;19;n/d;19;46;n/d;n/d
07/10/2011;20;n/d;19;42;n/d;n/d
07/10/2011;21;n/d;20;44;n/d;n/d
07/10/2011;22;n/d;20;43;n/d;n/d
07/10/2011;23;n/d;19;34;n/d;n/d
07/10/2011;24;n/d;17;28;n/d;n/d
08/10/2011;1;n/d;13;27;n/d;n/d
08/10/2011;2;n/d;12;19;n/d;n/d
08/10/2011;3;n/d;12;19;n/d;n/d
08/10/2011;4;n/d;13;20;n/d;n/d
08/10/2011;5;n/d;13;24;n/d;n/d
08/10/2011;6;n/d;12;28;n/d;n/d
08/10/2011;7;n/d;13;32;n/d;n/d
08/10/2011;8;n/d;17;32;n/d;n/d
08/10/2011;9;n/d;18;20;n/d;n/d
08/10/2011;10;n/d;17;17;n/d;n/d
08/10/2011;11;n/d;16;18;n/d;n/d
08/10/2011;12;n/d;18;17;n/d;n/d
08/10/2011;13;n/d;23;20;n/d;n/d
08/10/2011;14;n/d;22;23;n/d;n/d
08/10/2011;15;n/d;20;20;n/d;n/d
08/10/2011;16;n/d;24;21;n/d;n/d
08/10/2011;17;n/d;24;27;n/d;n/d
08/10/2011;18;n/d;27;36;n/d;n/d
08/10/2011;19;n/d;27;29;n/d;n/d
08/10/2011;20;n/d;25;34;n/d;n/d
08/10/2011;21;n/d;29;40;n/d;n/d
08/10/2011;22;n/d;29;36;n/d;n/d
08/10/2011;23;n/d;22;26;n/d;n/d
08/10/2011;24;n/d;19;27;n/d;n/d
09/10/2011;1;n/d;17;25;n/d;n/d
09/10/2011;2;n/d;15;19;n/d;n/d
09/10/2011;3;n/d;15;16;n/d;n/d
09/10/2011;4;n/d;16;17;n/d;n/d
09/10/2011;5;n/d;13;13;n/d;n/d
09/10/2011;6;n/d;12;19;n/d;n/d
09/10/2011;7;n/d;14;21;n/d;n/d
09/10/2011;8;n/d;10;27;n/d;n/d
09/10/2011;9;n/d;9;34;n/d;n/d
09/10/2011;10;n/d;11;36;n/d;n/d
09/10/2011;11;n/d;14;34;n/d;n/d
09/10/2011;12;n/d;19;39;n/d;n/d
09/10/2011;13;n/d;24;29;n/d;n/d
09/10/2011;14;n/d;25;21;n/d;n/d
09/10/2011;15;n/d;24;23;n/d;n/d
09/10/2011;16;n/d;23;26;n/d;n/d
09/10/2011;17;n/d;25;29;n/d;n/d
09/10/2011;18;n/d;25;26;n/d;n/d
09/10/2011;19;n/d;23;24;n/d;n/d
09/10/2011;20;n/d;20;16;n/d;n/d
09/10/2011;21;n/d;13;14;n/d;n/d
09/10/2011;22;n/d;12;12;n/d;n/d
09/10/2011;23;n/d;9;8;n/d;n/d
09/10/2011;24;n/d;8;5;n/d;n/d
10/10/2011;1;n/d;7;5;n/d;n/d
10/10/2011;2;n/d;6;3;n/d;n/d
10/10/2011;3;n/d;5;3;n/d;n/d
10/10/2011;4;n/d;5;5;n/d;n/d
10/10/2011;5;n/d;6;16;n/d;n/d
10/10/2011;6;n/d;9;28;n/d;n/d
10/10/2011;7;n/d;11;33;n/d;n/d
10/10/2011;8;n/d;15;35;n/d;n/d
10/10/2011;9;n/d;14;31;n/d;n/d
10/10/2011;10;n/d;12;27;n/d;n/d
10/10/2011;11;n/d;11;27;n/d;n/d
10/10/2011;12;n/d;12;22;n/d;n/d
10/10/2011;13;n/d;14;26;n/d;n/d
10/10/2011;14;n/d;15;30;n/d;n/d
10/10/2011;15;n/d;15;31;n/d;n/d
10/10/2011;16;n/d;14;35;n/d;n/d
10/10/2011;17;n/d;14;35;n/d;n/d
10/10/2011;18;n/d;15;39;n/d;n/d
10/10/2011;19;n/d;16;34;n/d;n/d
10/10/2011;20;n/d;15;27;n/d;n/d
10/10/2011;21;n/d;13;21;n/d;n/d
10/10/2011;22;n/d;13;12;n/d;n/d
10/10/2011;23;n/d;13;10;n/d;n/d
10/10/2011;24;n/d;14;7;n/d;n/d
11/10/2011;1;n/d;13;5;n/d;n/d
11/10/2011;2;n/d;12;5;n/d;n/d
11/10/2011;3;n/d;13;5;n/d;n/d
11/10/2011;4;n/d;15;8;n/d;n/d
11/10/2011;5;n/d;17;24;n/d;n/d
11/10/2011;6;n/d;18;34;n/d;n/d
11/10/2011;7;n/d;20;42;n/d;n/d
11/10/2011;8;n/d;23;43;n/d;n/d
